target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
0,0.899922219,-0.161,-0.244,1.022,-0.304,-0.156,-0.31,12.064,-0.051,462.092,-0.732,1.14251,3,0.0034231,-0.262,33831,-0.12,-0.109,0.6943067159999999,0.997923,88.18472109999999,74.7715,0.787,21,-0.005,-0.00457,0.801131,-0.143,-0.055,-0.005,-0.1169999999999999,0.00336065,0.66388,-0.005,-0.054,3170.06,-0.784,-0.06,-0.6859999999999999,-0.435,-3.350107803,0.889,96.3255,-0.564,-0.469,-0.0279999999999999,-0.133,-21.4902,106.792,1.49544,704.956,0.351,-0.024,-0.098,0.178543,9.62,515.012,-0.146,5490.13,-0.0279999999999999,105.219,0.995525,-0.0020399999999999,-1.604,0,0.0053249,67226.0,0.00372,-0.089,3.42085,0.00193191,0.181023,1.968,-212.318,0.00397,0.500891953,-0.0028,0.00466,-1.904040628,5190.98,0.00194778,-0.426,-0.103,1.19102,-0.032,0.927649417,-0.024,21.4711,0.0036799999999999,0.0045641999999999,3138.67,0.01959,21,0.482589,-0.307,0,-0.12259,3.09698,-0.3607318,0.0051347,0.179927,1.49193,-0.012,3.10686,-0.00579,-0.18553,-0.122263,-0.1237299999999999,189.092,2052.68,-0.5479999999999999,3.49045,-232.8,6,-0.021,-0.089,0.01107,-0.0579999999999999,1.16655,21.4029,1.08095,0.0100732,1.837,0.255,0.385120596,6913.68,1.19125,1132,1.09259,0.204294,0.001265,-1.148,0.07,-0.035,1.08133,-0.031,-0.008,-0.458764352,0.481826,-0.062,66676.1,-0.6579999999999999,764.3,-0.005,0.0603031999999999,13.383,0.81990921,-0.18291,-0.12259,0.0606836,17.1094
0,1.050574587,-0.285,-0.298,-0.7759999999999999,-0.263,-0.118,1.526,9.92919,-0.059,466.645,-0.715,1.80633,3,0.0040033,-0.292,13436,-0.284,-0.102,1.816915958,1.00132,133.14829369999998,73.0013,0.223,82,0.0006519999999999,-0.01296,0.8011010000000001,-0.09,-0.023,-0.228,-0.107,0.00424828,0.64013,-0.56,-0.055,3799.0,-0.84,-0.063,-0.846,-0.335,0.009948835,0.211,93.2053,-0.445,-0.481,-0.354,-0.105,-18.5995,73.7407,1.49699,966.937,-0.623,-0.042,-0.11,0.180113,4.34,482.997,3.234,6243.08,-0.025,73.1009,0.994811,-0.00224,0.552,0,0.0049564,67841.0,0.00771,0.17,3.48121,-0.00315646,0.181066,-0.312,-171.503,0.00505,0.225318446,-0.00148,-0.00308,2.465347953,5759.22,-0.00940041,-0.258,-0.11513,1.18592,-0.507,1.828687835,-0.023,21.3636,-0.00712,0.0003812,3536.88,-0.00634,82,0.482602,-0.272,0,-0.12232,3.09066,-0.080838886,-0.0028595,0.2009369999999999,1.50898,-0.0289999999999999,3.10072,0.00746,-0.18674,-0.125014,-0.1227,216.287,2349.23,-0.476,3.49726,11.5,2,-0.045,-0.054,-0.00694,-0.073,1.15355,21.3422,1.08186,0.0,-0.1689999999999999,-1.168,-0.128346053,6995.61,1.21638,3264,1.09616,0.200889,0.002094,0.733,0.216,-0.04,1.08129,-0.061,-0.0048254,0.154446394,0.482792,-0.347,66715.4,-0.8390000000000001,532.5,-0.023,0.0448703,14.887,1.642613176,-0.1903,-0.12308,0.0452515,17.0932
0,-1.206625883,-0.2019999999999999,-0.289,1.099,-0.302,-0.176,-0.33,11.0772,-0.075,419.784,0.456,1.19857,4,0.0055291,-0.316,26894,-0.148,-0.1009999999999999,-0.514662641,0.997676,127.044605,74.6132,0.901,73,-0.002503,-0.00687,0.7950010000000001,-0.188,-0.093,-0.035,-0.15,0.0042534,0.67838,-0.035,-0.0819999999999999,3061.7,0.291,-0.065,-0.204,-0.488,-2.275190428,0.8009999999999999,95.0316,1.272,2.4530000000000003,-0.065,-0.184,-17.8527,93.0292,1.50489,683.7439999999999,0.031,-0.049,-0.078,0.179013,-74.76,448.331,-0.302,5367.35,-0.0289999999999999,91.8613,0.996249,-0.00391,0.6409999999999999,0,0.0030505,66807.2,0.00773,0.375,3.47297,-0.000140791,0.180348,-0.391,-164.19,-0.0067,-2.152939717,-0.00391,-0.0075599999999999,-3.097849531,5160.0,-0.00964162,-0.387,-0.10152,1.20644,0.965,0.050663268,-0.046,21.587,0.0035299999999999,0.0051477,2942.89,-0.02731,73,0.480137,-0.379,1,-0.1241299999999999,3.10466,-0.6868954340000001,0.0080076,0.194851,1.49082,-0.0409999999999999,3.08993,0.00883,-0.18328,-0.1227549999999999,-0.12451,184.724,2031.26,1.58,3.4530000000000003,-110.0,3,-0.057,-0.067,-0.00227,-0.154,1.16579,21.5364,1.082,-0.00676421,-0.19,-0.483,0.068412633,6634.91,1.18248,2654,1.0963200000000002,0.197141,-0.002956,0.478,-0.074,-0.035,1.08181,-0.051,0.0122581,-0.446567139,0.480328,-0.044,66147.2,1.09,651.4,-0.035,0.0540691,-2.932,0.46458811,-0.18631,-0.1241299999999999,0.0500652,17.208
0,-1.082794593,-0.125,1.7480000000000002,2.167,-0.239,-0.242,-0.292,9.39798,-0.045,433.346,-0.588,1.12691,4,0.003243,2.636,30432,-0.118,-0.095,-0.259867898,0.999953,132.8099318,72.9269,-0.336,1721,0.000661,-0.01756,0.7963,-0.249,-0.079,-0.008,-0.156,0.00374656,0.6701699999999999,-0.008,-0.127,2983.06,1.041,-0.0579999999999999,0.8390000000000001,-0.241,-0.8056582,0.619,93.1631,2.569,-0.366,-0.04,-0.125,-14.3443,128.613,1.50516,617.283,0.515,-0.02,-0.072,0.179094,-37.6,461.617,3.526,4797.39,-0.0289999999999999,126.921,0.995464,-0.00236,-0.397,0,0.0034336999999999,65925.8,0.00295,-0.923,3.43462,0.00972762,0.181576,1.839,-175.345,-0.0029,-1.451042399,-0.00275,0.0092,-1.072605229,4599.07,0.000329445,-0.391,-0.0565,1.20849,-1.183,0.147243234,-0.035,22.5239,0.0251,-0.0028615,2847.29,-0.03261,1723,0.479202,-0.235,3,-0.11233,3.09738,-0.438866977,0.0020984,0.223845,1.49833,-0.006,3.1034900000000003,0.0066599999999999,-0.18907,-0.113889,-0.11424,196.399,1707.59,-0.508,3.44005,-42.7,9,-0.012,-0.04,0.00418,-0.104,1.15095,22.5014,1.08171,0.00287362,-0.222,-1.038,0.28688076,6774.38,1.21606,2266,1.0960299999999998,0.202958,0.003511,-0.302,0.148,-0.038,1.08171,-0.013,0.0101935,-0.499656846,0.479774,-0.068,65523.0,0.252,603.4,-0.008,0.0435711,-44.99,0.335562949,-0.19257,-0.11309,0.0450972,17.5977
0,0.8917842690000001,-0.2189999999999999,1.757,-0.782,-0.268,-0.099,-0.239,9.42913,-0.067,429.28,0.327,1.83109,3,0.0028593,-0.2739999999999999,14123,-0.5529999999999999,-0.095,0.58077257,1.00219,105.7130992,73.3881,-0.358,1713,0.000866,-0.00457,0.800016,-0.086,-0.025,-0.2319999999999999,-0.115,0.00313982,0.6602600000000001,0.445,-0.053,3733.12,1.159,-0.032,-0.609,-0.321,0.8295614729999999,0.18,94.1655,-0.45,-0.4589999999999999,-0.341,-0.12,-16.1362,74.8545,1.50625,921.871,0.7290000000000001,-0.066,-0.061,0.179362,12.46,436.864,-0.5770000000000001,5436.82,-0.019,74.1023,0.997,-0.00211,-0.305,0,0.0022874,68158.3,-0.0009699999999999,0.406,3.47381,-0.0048097,0.180506,1.544,-161.681,-0.00971,0.360525987,-0.00211,-0.00029,1.625397871,5189.14,-0.00734001,-0.244,-0.0549,1.21613,-0.3979999999999999,-0.65260514,-0.025,21.3191,-0.02984,0.005528,3327.61,0.00579,1714,0.4811109999999999,-0.179,1517,-0.12105,3.10124,-0.549668874,0.0024781,0.197845,1.49952,-0.03,3.10628,-0.00885,-0.18129,-0.119713,-0.1229599999999999,170.77599999999998,2144.8,-0.363,3.4754,59.5,0,-0.031,-0.05,0.00576,-0.049,1.1537,21.2783,1.0813700000000002,-0.00562721,-0.1159999999999999,-0.037,-0.216165243,6536.81,1.19325,2322,1.09643,0.1976619999999999,0.000347,-0.099,0.665,-0.036,1.08194,-0.076,0.0048254,-0.69782059,0.4803489999999999,1.2009999999999998,67229.6,1.246,417.4,-0.025,0.0415875999999999,-12.205,-0.7281105109999999,-0.18187,-0.12143,0.0431125,17.2664
0,-0.044328896,-0.13,-0.191,-0.8220000000000001,-0.31,-0.406,-0.408,9.61273,-0.044,429.589,-0.482,1.56894,13,0.0062911,-0.245,31742,-0.2189999999999999,-0.062,-0.269874026,1.00063,67.57712996,71.8824,-0.3429999999999999,54,0.000848,-0.01068,0.797218,-0.143,-0.054,-0.01,-0.174,0.00394808,0.6600699999999999,-0.01,-0.286,3388.53,-0.994,-0.051,0.7090000000000001,-0.3379999999999999,-1.227494361,0.626,94.0,-0.497,-0.492,-0.03,-0.175,-19.3232,81.1777,1.50025,968.161,1.047,-0.035,-0.129,0.17964,8.51,468.936,1.016,5306.31,-0.0289999999999999,80.7879,0.995821,0.00036,-0.233,0,0.0074348999999999,66334.0,0.00059,1.144,3.49872,-0.002032,0.180403,-0.287,-186.666,-0.00856,0.416149559,0.0,-0.00701,1.12977569,5273.83,0.00530672,-0.2739999999999999,-0.1144,1.19899,0.003,-1.057520171,-0.032,21.6346,-0.01999,0.002669,3045.59,-0.01655,54,0.4847109999999999,-0.238,1,-0.12663,3.11311,-0.006862432,0.0020971,0.196241,1.5117,-0.008,3.09049,0.0003,-0.18688,-0.1302,-0.12777,188.749,2138.38,0.099,3.43775,-47.8,15,-0.009,-0.095,-0.00759,-0.075,1.16592,21.6054,1.08189,0.00202589,-0.1689999999999999,0.931,-0.302382571,6644.12,1.18525,2228,1.09619,0.203283,0.004593,-0.193,1.008,-0.033,1.0817,-0.024,0.0055873,-0.401360544,0.483567,-0.064,66363.4,-1.433,638.0,-0.01,0.0476141,-1.338,-1.095399959,-0.19487,-0.12586,0.0485673,17.5132
0,1.636801725,-0.154,-0.216,1.591,-0.264,-0.196,-0.295,11.2685,-0.044,437.122,-0.912,1.38182,4,0.0116325,-0.295,37497,-0.144,-0.085,1.220746587,1.00007,90.88734931,78.2927,-0.436,18,-0.0031579999999999,-0.00382,0.798144,-0.195,-0.062,-0.012,-0.157,0.00166151,0.6845100000000001,-0.012,-0.071,3113.27,-0.768,-0.062,0.091,-0.385,-0.226924025,0.872,98.485,-0.764,-0.5529999999999999,-0.03,-0.162,-19.819000000000003,102.462,1.49914,718.0060000000001,0.483,-0.031,-0.1009999999999999,0.180565,-6.83,467.315,-0.166,5159.03,-0.035,101.631,0.996272,-0.00331,-1.7180000000000002,0,0.0036233,66177.3,-0.00603,0.152,3.47163,-0.00537811,0.1801839999999999,0.536,-195.283,0.00565,-0.0778367859999999,-0.00446,0.0043,2.830994053,4846.34,-0.00634668,-0.455,-0.1165799999999999,1.18254,-0.952,-1.275520497,-0.022,21.4658,-0.02787,0.0099162,3141.92,-0.03048,18,0.482306,-0.236,0,-0.11647,3.09915,-0.408204102,0.0139208,0.404982,1.49521,-0.017,3.10266,-0.00885,-0.18314,-0.117953,-0.11875,400.4980000000001,2019.01,-0.286,3.4588300000000003,-26.8,3,-0.023,-0.0579999999999999,0.0013,-0.05,1.15826,21.4443,1.08065,0.0017480999999999,-0.257,-0.627,-0.475484763,6623.28,1.20435,1913,1.09512,0.197519,-0.001286,0.427,1.072,-0.027,1.08026,-0.025,-0.00228571,2.34824246,0.485925,-0.067,65953.9,0.5379999999999999,843.4,-0.012,0.056257,12.287,-1.242269725,-0.1796,-0.11609,0.0554942,17.358
0,-0.487450614,-0.25,-0.1889999999999999,0.6920000000000001,-0.174,-0.1159999999999999,-0.258,8.925410000000001,-0.048,423.351,-0.71,1.49295,0,0.0051501,-0.259,8948,1.569,-0.074,0.5036357929999999,1.00032,151.0738161,71.8889,0.823,345,-0.0033229999999999,-0.0061,0.796342,-0.109,-0.0409999999999999,-0.22,-0.1369999999999999,0.00327331,0.65976,1.854,-0.067,3599.94,0.937,-0.053,-0.637,-0.43,0.556171365,0.286,92.2924,-0.521,0.301,1.149,-0.068,-16.2683,76.75,1.4916200000000002,841.041,-1.17,-0.062,-0.07,0.180042,25.17,448.453,-0.4529999999999999,5019.96,-0.022,76.2488,0.995158,-0.00214,1.194,0,0.0103001,65070.2,-0.0053799999999999,-1.217,3.4741,-0.00658777,0.179661,-0.261,-194.459,0.00915,0.5740018139999999,-0.0029,-0.00646,-2.643148968,4684.92,-0.007836,-0.231,-0.10907,1.1972,-0.565,-1.010993043,-0.0409999999999999,21.7174,0.02999,0.0072482,3106.42,0.01734,345,0.483043,-0.345,2,-0.12799,3.10327,-0.080554241,0.0003815,0.191,1.5011,-0.049,3.1068,0.00193,-0.17719,-0.128938,-0.12799,188.777,1938.12,1.895,3.44246,42.5,5,-0.042,-0.05,0.00821,-0.136,1.15699,21.6879,1.08199,0.00613225,-0.162,-1.12,-0.277468536,6530.92,1.20833,3250,1.09458,0.1991109999999999,-0.000109,0.743,-1.272,-0.024,1.08218,-0.05,-0.00533333,1.521029549,0.483234,1.12,64191.0,0.06,648.7,-0.0409999999999999,0.040285,-47.357,-1.133153136,-0.2238,-0.12799,0.0452443,17.6585
0,-1.1197038259999998,-0.172,-0.276,0.1169999999999999,1.031,-0.207,-0.298,9.06325,-0.077,412.606,0.148,0.971436,4,0.0072473999999999,-0.361,28977,-0.166,-0.114,0.509590859,1.00158,117.2039225,74.5483,-0.477,298,-0.003884,-0.0061,0.802177,-0.171,-0.088,-0.024,-0.182,0.00365763,0.68757,-0.024,-0.105,2985.36,-0.747,-0.063,-0.3829999999999999,-0.421,-3.087853064,0.609,95.3303,1.7480000000000002,2.342,-0.055,1.618,-16.6561,127.424,1.50941,604.114,0.0289999999999999,-0.0579999999999999,-0.143,0.179289,17.2,444.713,-0.236,5015.32,-0.0279999999999999,126.889,0.996271,-0.00193,-0.0969999999999999,0,0.0036236999999999,65637.8,-0.01006,-1.281,3.43424,-0.00431157,0.180242,-0.611,-183.907,-0.00124,1.038969918,-0.00232,0.00367,2.477671335,4703.27,-0.00810004,-0.41,-0.05567,1.19787,0.968,-0.03190825,-0.061,22.5706,-0.0262699999999999,-0.0003815,2921.93,-0.00671,299,0.48263,-0.3229999999999999,1,-0.11824,3.09538,6.857965889,0.0005721,0.178423,1.49918,-0.03,3.1049900000000004,0.0,-0.18039,-0.117396,-0.11671,170.429,1703.08,-0.357,3.43665,-192.3,2,-0.0409999999999999,-0.093,0.0001199999999999,-0.086,1.15189,22.5127,1.08169,-0.00304107,-0.256,0.204,-0.009181873,6793.64,1.21164,1833,1.09522,0.204838,-0.004129,0.0139999999999999,0.381,-0.033,1.08111,-0.036,0.00812903,2.7958276580000003,0.48263,-0.086,65339.5,-0.307,642.3,-0.024,0.0469183,8.008,-0.142754383,-0.18031,-0.11709,0.0417688,17.7846
0,0.8912016009999999,-0.125,-0.271,-1.028,-0.2739999999999999,-0.3829999999999999,1.4469999999999998,10.6031,-0.051,442.524,-0.603,1.76002,34,0.0007632,-0.396,26972,-0.417,-0.078,0.929637381,0.997697,105.940895,75.6877,-0.49,68,-0.000725,-0.00457,0.801029,-0.298,-0.074,-0.024,-0.141,0.00594992,0.66787,-0.024,-0.2319999999999999,3574.81,0.5329999999999999,-0.065,-0.561,-0.346,-0.225359106,0.551,96.4684,0.833,-0.342,-0.054,-0.155,-17.691,70.9511,1.49034,1137.53,0.545,-0.0559999999999999,-0.105,0.179514,7.85,454.628,-0.386,6039.1,-0.0289999999999999,70.531,0.994601,-0.00462,-0.332,0,0.0038162,68735.8,-0.0077599999999999,2.244,3.45467,-0.00155263,0.179704,-0.437,-176.808,-0.00845,0.350443502,-0.0027199999999999,-0.01045,0.614856807,5989.35,0.0107267,-0.374,-0.1098099999999999,1.18416,-0.7020000000000001,-1.134760007,-0.04,20.9606,-0.02741,0.0017172,3396.23,-0.0297,68,0.480167,-0.282,2,-0.11177,3.09731,-0.42638865,0.0007632,0.17739,1.49184,-0.03,3.10574,-0.00614,-0.18002,-0.111816,-0.1125299999999999,203.115,2532.72,-0.477,3.47582,26.5,13,-0.046,-0.055,0.00699,-0.132,1.15773,20.9332,1.08128,0.00701355,-0.1639999999999999,-0.645,-0.296001737,6716.15,1.20714,2146,1.09615,0.204489,0.003774,-0.358,1.3219999999999998,-0.0279999999999999,1.0814700000000002,-0.043,0.00812903,-0.443120578,0.479977,-0.075,68768.7,-1.168,651.1,-0.024,0.0532768,-20.931,-1.173139169,-0.2231699999999999,-0.11139,0.0511779,17.0108
